iter	Logloss
0	0.6827700269
1	0.6728634677
2	0.661217155
3	0.6502142686
4	0.6415576306
5	0.6329037174
6	0.6234813732
7	0.6144355522
8	0.6045471024
9	0.5957704062
10	0.5863890176
11	0.5787339682
12	0.5711282583
13	0.5625943614
14	0.5537077516
15	0.5456048316
16	0.5376908858
17	0.5292591472
18	0.5212474027
19	0.5148774032
20	0.5076731168
21	0.5008839199
22	0.4934274862
23	0.4852949289
24	0.4781655951
25	0.4720505934
26	0.4655295571
27	0.458571717
28	0.4525460883
29	0.4460206923
30	0.4404684213
31	0.434217432
32	0.4286510761
33	0.4229053875
34	0.4166510446
35	0.4104665819
36	0.4043724144
37	0.3981830471
38	0.3934186579
39	0.3880427015
40	0.3827433743
41	0.3771791982
42	0.3723579658
43	0.3678346152
44	0.3629758227
45	0.3579960079
46	0.3541234614
47	0.3502382132
48	0.3465176257
49	0.342477505
50	0.3382590158
51	0.3343652159
52	0.3297348442
53	0.3256743714
54	0.3219687493
55	0.3181264689
56	0.3144384112
57	0.3105420961
58	0.3060019986
59	0.3025451912
60	0.2992107685
61	0.2952345544
62	0.2919614184
63	0.2890412048
64	0.2862892989
65	0.2830440186
66	0.2798395681
67	0.2766115377
68	0.272952237
69	0.2710505056
70	0.2675807031
71	0.2645496536
72	0.2616755936
73	0.2586753761
74	0.2556404281
75	0.2532563262
76	0.2503690615
77	0.2477198171
78	0.2447484404
79	0.2421004536
80	0.2396120553
81	0.2370833931
82	0.2337951241
83	0.231942334
84	0.2287666824
85	0.2267193008
86	0.223743837
87	0.2214111496
88	0.2193518838
89	0.217079456
90	0.2145354093
91	0.2129498157
92	0.2113072532
93	0.2088080396
94	0.2067666945
95	0.2047553429
96	0.2023504697
97	0.2002281357
98	0.1983869783
99	0.1962907812
100	0.1945476322
101	0.1919861888
102	0.1902338803
103	0.1890294421
104	0.187593523
105	0.1856862582
106	0.1837069124
107	0.1816289294
108	0.179984229
109	0.1782882187
110	0.1767428052
111	0.1750089624
112	0.1731429572
113	0.1713265744
114	0.169927618
115	0.1684226466
116	0.1669672033
